Product,Service Type,Sub Cat 1,Numbering,Link
Avid Profile,Audio,A Console,1,https://www.avid.com/learn-and-support/venue-profile-system
Avid SC48,Audio,A Console,1,
Mackie 8 Ch,Audio,A Peripheries,,
Midas DL32 ,Audio,A Console,,
Midas DM16,Audio,A Console,,
Midas M32,Audio,A Console,,
Yamaha CL5 ,Audio,A Console,,
Yamaha QL1 ,Audio,A Console,,
Yamaha SQ5,Audio,A Console,,
dB Technologies RDNet Audio System Control 2,Audio,Audio Systems,,
dB Technologies RDNet Audio System Control 8,Audio,Audio Systems,,
RTS Com System,Audio,A Peripheries,,
EarTech Wireless Com,Audio,A Peripheries,,
Sennheiser 421,Audio,Mic,,
Radial Pro Stereo DI,Audio,Mic,,
SM58 Switch Mic,Audio,Mic,,
K&M Mic Stands,Audio,Mic,,
AKG 414,Audio,Mic,,
Shure Beta 52,Audio,Mic,,
Shure Beta 91,Audio,Mic,,
Shure KSM 137,Audio,Mic,,
Shure KSM 27,Audio,Mic,,
Shure KSM32,Audio,Mic,,
Sennheiser 604,Audio,Mic,,
Sennheiser 609,Audio,Mic,,
Sennheiser 904,Audio,Mic,,
Shure SM7,Audio,Mic,,
Shure SM57,Audio,Mic,,
Shure SM58,Audio,Mic,,
Telefunken M80,Audio,Mic,,
Telefunken M81,Audio,Mic,,
Sennheiser e604,Audio,Mic,,
Shure B52,Audio,Mic,,
Shure B91,Audio,Mic,,
Shure Beta 58A,Audio,Mic,,
Telefunken M82,Audio,Mic,,
Radial J48 Active DI,Audio,Mic,,
Radial Pro AV DI,Audio,Mic,,
dB Tech DRK Flybar,Audio,Mic,,
dB Technologies AC26N Digital Audio Controller Loudspeaker Processing,Audio,Audio Systems,2,
dB Technologies Ingenia IG3T Powered 2-Way Column Speaker,Audio,Audio Systems,2,
"dB Technologies ViO L208 2x8"" Line Array System Speaker",Audio,Audio Systems,2,
dB Technologies ViO L210 Array,Audio,Audio Systems,2,
"dB Technologies ViO L212 2x12"" Line Array System",Audio,Audio Systems,2,
"dB Technologies ViO S118R Powered 18"" Subwoofer",Audio,Audio Systems,2,
dB Technologies ViO S318 Subs,Audio,Audio Systems,2,
dB Technologies ViO X12 Professional Active 2-Way Speaker,Audio,Audio Systems,2,
dB Technologies ViO X205-100,Audio,Audio Systems,2,
Flex 10 Speakers,Audio,Audio Systems,,
Flex 315 Speakers,Audio,Audio Systems,,
LVX15,Audio,Audio Systems,,
LVX12,Audio,Audio Systems,,
QSC 181,Audio,Audio Systems,,
QSC K10,Audio,Audio Systems,,
QSC K12,Audio,Audio Systems,,
Shure 2 Channel ULXD,Audio,RF,,
Shure 4 Channel ULXD,Audio,RF,,
Shure ULXD Wireless Podium,Audio,RF,,
Shure Gooseneck Mic,Audio,Mic,,
Shure P6HW IEM System (Hard Wired),Audio,RF,,
Shure PSM1000 IEM System,Audio,RF,,
Shure PSM900 IEM System,Audio,RF,,
