Product,Service Type,Sub Cat 1,Numbering,Link
Avid Profile,Audio,A Console,1,https://www.avid.com/learn-and-support/venue-profile-system
Avid SC48,Audio,A Console,1,
Digico D-Rack + Expansion - 32x16 Digital Stage Box,Audio,A Console,,
DiGiCo S21 Digital Audio Console,Audio,A Console,,
Mackie 8 Ch,Audio,A Console,,
Midas DL32 Digital Snake Split,Audio,A Console,,
Midas DM16 Analog Audio Mixing Console,Audio,A Console,,
Midas m32,Audio,A Console,,
Midas m32r Compact Digital Mixing Console,Audio,A Console,,
Yamaha CL5 Digital Audio Mixing Console,Audio,A Console,,
Yamaha QL1 Digital Audio Console,Audio,A Console,,
RDNet Audio System Control 2,Audio,A Peripheries,,
RDNet Audio System Control 8,Audio,A Peripheries,,
Clear Com System 5 Ch,Audio,A Peripheries,,
Sennheiser 421,Audio,Mic,,
Radial Pro Stereo DI,Audio,Mic,,
SM58 Switch Mic,Audio,Mic,,
Tripod Stand,Audio,Mic,,
AKG 414,Audio,Mic,,
Shure Beta 52,Audio,Mic,,
Shure Beta 91,Audio,Mic,,
Shure KSM 137,Audio,Mic,,
Shure KSM 27,Audio,Mic,,
Shure KSM32,Audio,Mic,,
Sennheiser 604,Audio,Mic,,
Sennheiser 609,Audio,Mic,,
Sennheiser 904,Audio,Mic,,
Shure SM7,Audio,Mic,,
Shure SM57,Audio,Mic,,
Shure SM58,Audio,Mic,,
Telefunken M80,Audio,Mic,,
Telefunken M81,Audio,Mic,,
Sennheiser e604,Audio,Mic,,
Shure B52,Audio,Mic,,
Shure B91,Audio,Mic,,
Shure Beta 58A,Audio,Mic,,
Telefunken M82,Audio,Mic,,
Radial J48 Active DI,Audio,Mic,,
Radial Pro AV DI,Audio,Mic,,
dB Tech DRK Flybar,Audio,Mic,,
dB Technologies AC26N Digital Audio Controller Loudspeaker Processing,Audio,PA,2,
dB Technologies Ingenia IG3T Powered 2-Way Column Speaker,Audio,PA,2,
"dB Technologies ViO L208 2x8"" Line Array System Speaker",Audio,PA,2,
dB Technologies ViO L210 Array,Audio,PA,2,
"dB Technologies ViO L212 2x12"" Line Array System",Audio,PA,2,
"dB Technologies ViO S118R Powered 18"" Subwoofer",Audio,PA,2,
dB Technologies ViO S318 Subs,Audio,PA,2,
dB Technologies ViO X12 Professional Active 2-Way Speaker,Audio,PA,2,
dB Technologies ViO X205-100,Audio,PA,2,
Flex 10 Speakers,Audio,PA,,
Flex 315 Speakers,Audio,PA,,
LVX 15,Audio,PA,,
LVX12,Audio,PA,,
QSC 181,Audio,PA,,
QSC K10,Audio,PA,,
QSC K12,Audio,PA,,
Shure 4Ch,Audio,RF,,
Shure Gooseneck Mic - Wired,Audio,RF,,
Shure P6HW IEM System (Hard Wired),Audio,RF,,
Shure PSM1000 IEM System,Audio,RF,,
Shure PSM900 IEM System,Audio,RF,,
Shure Single Channel,Audio,RF,,
Sennheiser EW300 IEM System,Audio,RF,,
